state,url,secondary,tertiary,dateChecked,date,size
CT,https://covidtracking.com/screenshots/CT/CT-20200315-021520.png,false,false,2020-03-15T06:15:20.000Z,20200315,581127
CT,https://covidtracking.com/screenshots/CT/CT-20200315-163329.png,false,false,2020-03-15T20:33:29.000Z,20200315,583820
CT,https://covidtracking.com/screenshots/CT/CT-20200316-105436.png,false,false,2020-03-16T14:54:36.000Z,20200316,580471
CT,https://covidtracking.com/screenshots/CT/CT-20200316-230705.png,false,false,2020-03-17T03:07:05.000Z,20200317,582614
CT,https://covidtracking.com/screenshots/CT/CT-20200317-141033.png,false,false,2020-03-17T18:10:33.000Z,20200317,581570
CT,https://covidtracking.com/screenshots/CT/CT-20200317-180107.png,false,false,2020-03-17T22:01:07.000Z,20200317,587075
CT,https://covidtracking.com/screenshots/CT/CT-20200318-010113.png,false,false,2020-03-18T05:01:13.000Z,20200318,587075
CT,https://covidtracking.com/screenshots/CT/CT-20200318-140333.png,false,false,2020-03-18T18:03:33.000Z,20200318,591500
CT,https://covidtracking.com/screenshots/CT/CT-20200318-190146.png,false,false,2020-03-18T23:01:46.000Z,20200318,585061
CT,https://covidtracking.com/screenshots/CT/CT-20200319-010128.png,false,false,2020-03-19T05:01:28.000Z,20200319,567675
CT,https://covidtracking.com/screenshots/CT/CT-20200319-140231.png,false,false,2020-03-19T18:02:31.000Z,20200319,577888
CT,https://covidtracking.com/screenshots/CT/CT-20200319-190121.png,false,false,2020-03-19T23:01:21.000Z,20200319,572978
CT,https://covidtracking.com/screenshots/CT/CT-20200320-010127.png,false,false,2020-03-20T05:01:27.000Z,20200320,574545
CT,https://covidtracking.com/screenshots/CT/CT-20200320-140139.png,false,false,2020-03-20T18:01:39.000Z,20200320,574545
CT,https://covidtracking.com/screenshots/CT/CT-20200320-190353.png,false,false,2020-03-20T23:03:53.000Z,20200320,578791
CT,https://covidtracking.com/screenshots/CT/CT-20200321-010157.png,false,false,2020-03-21T05:01:57.000Z,20200321,609178
CT,https://covidtracking.com/screenshots/CT/CT-20200321-140156.png,false,false,2020-03-21T18:01:56.000Z,20200321,610308
CT,https://covidtracking.com/screenshots/CT/CT-20200321-190137.png,false,false,2020-03-21T23:01:37.000Z,20200321,1179447
CT,https://covidtracking.com/screenshots/CT/CT-20200322-010140.png,false,false,2020-03-22T05:01:40.000Z,20200322,1190210
CT,https://covidtracking.com/screenshots/CT/CT-20200322-140140.png,false,false,2020-03-22T18:01:40.000Z,20200322,1190210
CT,https://covidtracking.com/screenshots/CT/CT-20200322-190210.png,false,false,2020-03-22T23:02:10.000Z,20200322,1192602
CT,https://covidtracking.com/screenshots/CT/CT-20200323-010154.png,false,false,2020-03-23T05:01:54.000Z,20200323,1184332
CT,https://covidtracking.com/screenshots/CT/CT-20200323-140156.png,false,false,2020-03-23T18:01:56.000Z,20200323,1184332
CT,https://covidtracking.com/screenshots/CT/CT-20200323-190159.png,false,false,2020-03-23T23:01:59.000Z,20200323,1183910
CT,https://covidtracking.com/screenshots/CT/CT-20200324-010134.png,false,false,2020-03-24T05:01:34.000Z,20200324,1186494
CT,https://covidtracking.com/screenshots/CT/CT-20200324-140141.png,false,false,2020-03-24T18:01:41.000Z,20200324,1187189
CT,https://covidtracking.com/screenshots/CT/CT-20200324-190134.png,false,false,2020-03-24T23:01:34.000Z,20200324,1186622
CT,https://covidtracking.com/screenshots/CT/CT-20200325-004500.png,false,false,2020-03-25T04:45:00.000Z,20200325,1098457
CT,https://covidtracking.com/screenshots/CT/CT-20200325-140207.png,false,false,2020-03-25T18:02:07.000Z,20200325,1077875
CT,https://covidtracking.com/screenshots/CT/CT-20200325-190212.png,false,false,2020-03-25T23:02:12.000Z,20200325,1077857
CT,https://covidtracking.com/screenshots/CT/CT-20200326-010302.png,false,false,2020-03-26T05:03:02.000Z,20200326,1073321
